SAMID DTA fix
SAM20 60.7 1
SAM36 63.2 1
SAM22 62 1
SAM31 54.5 1
SAM23 65 1
SAM184 64.2 1
SAM33 59 1
SAM70 67 1
SAM332 73.7 1
SAM331 67.2 1
SAM141 63 1
SAM206 66.7 1
SAM140 69 1
SAM83 65.7 1
SAM183 63 1
SAM175 72.7 1
SAM154 72.2 1
SAM72 64.2 1
SAM309 67.5 1
SAM225 62.7 1
SAM93 60 1
SAM290 80.7 1
SAM121 65.7 1
SAM307 73.2 1
SAM9 58.7 1
SAM286 62.2 1
SAM112 80 1
SAM192 64.7 1
SAM259 66.2 1
SAM336 66.2 1
SAM291 64 1
SAM128 60.3 1
SAM318 58.5 1
SAM90 64.2 1
SAM236 57 1
SAM52 62.5 1
SAM29 71 1
SAM327 64.3 1
SAM77 78 1
SAM333 78 1
SAM299 62.7 1
SAM379 70.2 1
SAM134 66 1
SAM24 69 1
SAM232 71 1
SAM357 68.7 1
SAM38 67 1
SAM92 67.7 1
SAM113 68.5 1
SAM269 67.7 1
SAM80 74.2 1
SAM381 68.5 1
SAM373 73.2 1
SAM370 69.7 1
SAM43 67.7 1
SAM26 68.7 1
SAM142 67.2 1
SAM244 65.5 1
SAM283 69.7 1
SAM364 67.7 1
SAM326 75 1
SAM255 68 1
SAM187 64.7 1
SAM202 68.2 1
SAM288 64.3 1
SAM49 55.7 1
SAM164 63.7 1
SAM233 65 1
SAM263 68.5 1
SAM57 72.7 1
SAM104 71.7 1
SAM211 76.7 1
SAM221 73.2 1
SAM337 76.2 1
SAM205 78.3 1
SAM240 74 1
SAM99 72.2 1
SAM145 57 1
SAM220 55.2 1
SAM167 54 1
SAM40 53 1
SAM213 88 1
SAM243 78 1
SAM254 78.5 1
SAM176 82.7 1
SAM158 100.7 1
SAM369 77 1
SAM185 87 1
SAM193 81 1
SAM71 82.7 1
SAM315 71.7 1
SAM292 87 1
SAM359 88.5 1
SAM229 92.5 1
SAM27 96 1
SAM120 85 1
SAM325 97 1
SAM368 96.3 1
SAM342 86 1
SAM275 85.7 1
SAM148 85.7 1
SAM377 80 1
SAM61 78 1
SAM81 83.7 1
SAM295 94.5 1
SAM270 85.7 1
SAM203 77 1
SAM222 84.7 1
SAM340 86.5 1
SAM294 101.3 1
SAM91 94.3 1
SAM376 90.3 1
SAM346 108.7 1
SAM345 84 1
SAM119 77 1
SAM378 80 1
SAM98 86.3 1
SAM56 54.7 1
SAM28 55.2 1
SAM135 58 1
SAM2 54.5 1
SAM63 60.2 1
SAM48 61.7 1
SAM317 78.7 1
SAM347 72.5 1
SAM319 70 1
SAM371 70.2 1
SAM265 71.7 1
SAM25 66.3 1
SAM334 80.2 1
SAM139 61.7 1
SAM45 56.2 1
SAM157 69.7 1
SAM3 61 1
SAM117 78.7 1
SAM271 81.7 1
SAM86 66.5 1
SAM198 67.2 1
SAM156 64.3 1
SAM108 64.2 1
SAM349 66.2 1
SAM122 83.2 1
SAM266 82.7 1
SAM218 67.2 1
SAM85 69.7 1
SAM248 66.7 1
SAM21 63.7 1
SAM278 71.7 1
SAM199 70 1
SAM96 63.7 1
SAM367 71.5 1
SAM194 72 1
SAM161 84.5 1
SAM351 68.2 1
SAM173 77.7 1
SAM216 67.2 1
SAM257 65.2 1
SAM89 61.7 1
SAM160 62.2 1
SAM264 69.5 1
SAM285 67.3 1
SAM343 68 1
SAM60 60.5 1
SAM301 62.5 1
SAM242 65.7 1
SAM355 72.2 1
SAM181 77 1
SAM97 71.2 1
SAM361 75.5 1
SAM123 80.5 1
SAM250 89.7 1
SAM358 84.5 1
SAM172 80.2 1
SAM341 71.5 1
SAM303 82 1
SAM224 90.5 1
SAM162 75.2 1
SAM165 78.5 1
SAM195 69 1
SAM67 59.5 1
SAM276 70.7 1
SAM282 78.7 1
SAM44 69.5 1
SAM196 71 1
SAM73 59.7 1
SAM118 61.2 1
SAM219 80.5 1
SAM65 68.7 1
SAM174 64.7 1
SAM102 65 1
SAM153 69.5 1
SAM249 61 1
SAM322 61.7 1
SAM78 65.3 1
SAM374 72.2 1
SAM106 66.5 1
SAM88 64.2 1
SAM18 58 1
SAM237 68.7 1
SAM268 66.7 1
SAM12 63.7 1
SAM323 68.2 1
SAM258 86.3 1
SAM201 76.7 1
SAM130 62.7 1
SAM189 65.3 1
SAM329 70 1
SAM84 56.7 1
SAM95 65.2 1
SAM302 65.7 1
SAM13 84.2 1
SAM109 71 1
SAM208 68.3 1
SAM105 70.5 1
SAM227 69.7 1
SAM247 68.2 1
SAM214 63.3 1
SAM296 74.2 1
SAM363 81.2 1
SAM372 58.7 1
SAM197 58.7 1
SAM360 63 1
SAM136 56 1
SAM53 62.2 1
SAM75 70 1
SAM210 68 1
SAM129 68 1
SAM350 78 1
SAM107 74.7 1
SAM234 74.7 1
SAM335 81.3 1
SAM239 82 1
SAM274 70 1
SAM365 77 1
SAM152 66.5 1
SAM304 67.3 1
SAM353 71.2 1
SAM280 70 1
SAM35 70.7 1
SAM382 73.5 1
SAM366 82.2 1
SAM125 81 1
SAM308 71.7 1
SAM17 73 1
SAM37 67.7 1
SAM380 68.3 1
SAM339 79.2 1
SAM356 77.2 1
SAM7 68.7 1
SAM10 71.5 1
SAM19 70.2 1
SAM150 83 1
SAM321 84.7 1
SAM267 80.3 1
SAM171 79.7 1
SAM348 70 1
SAM287 75.3 1
SAM375 79.7 1
SAM352 78.7 1
SAM362 80 1
SAM284 82.2 1
SAM231 73 1
SAM328 70.7 1
SAM246 79 1
SAM223 71.2 1
SAM182 66.5 1
SAM311 83.5 1
SAM39 74.2 1
SAM1 55 1
SAM209 68 1
SAM252 62.7 1
SAM16 67.7 1
SAM297 64.5 1
SAM262 65.5 1
SAM146 65.2 1
SAM47 71.2 1
SAM94 75.5 1
SAM126 65 1
SAM6 59 1
SAM217 69 1
SAM230 70 1
SAM235 72.2 1
SAM191 71.7 1
SAM15 68 1
SAM14 68.7 1
SAM260 72.7 1
SAM115 62.2 1
SAM132 65.7 1
SAM212 64 1
SAM163 62 1
SAM55 66.5 1
SAM144 71.5 1
SAM59 69.5 1
SAM188 64.2 1
SAM76 57.5 1
SAM215 61.2 1
SAM103 62 1
SAM34 64.7 1
SAM58 63.2 1
SAM204 70.7 1
SAM179 62.3 1
SAM64 62 1
SAM131 69.7 1
SAM116 66.2 1
SAM114 61.5 1
SAM101 63 1
SAM354 62.7 1
SAM200 63.7 1
SAM30 70.2 1
SAM272 70 1
SAM281 56.5 1
SAM11 60.2 1
SAM178 64.3 1
SAM344 72.5 1
SAM289 86.7 1
SAM320 74.3 1
SAM151 84 1
SAM51 65.2 1
SAM143 61.2 1
SAM100 72.7 1
SAM127 68 1
SAM124 75 1
SAM312 76.2 1
SAM207 72.5 1
SAM279 78.7 1
SAM293 83.3 1
SAM32 86.7 1
SAM111 80.5 1
SAM306 78.5 1
SAM190 82.5 1
SAM168 76.7 1
SAM42 80.3 1
SAM305 76 1
SAM310 70.5 1
SAM324 66.5 1
SAM273 72.3 1
SAM245 73 1
SAM149 69.5 1
SAM177 67 1
SAM166 69.2 1
SAM180 64.7 1
SAM74 67 1
SAM186 68 1
SAM241 68.2 1
SAM41 58 1
SAM54 63 1
SAM46 56.7 1
SAM66 67.5 1
SAM137 61 1
SAM277 67 1
SAM298 68.7 1
SAM313 65 1
SAM314 58.2 1
