SAMID Height fix
SAM20 28.1645 1
SAM36 22.0509 1
SAM22 27.2658 1
SAM31 33.7794 1
SAM23 22.4926 1
SAM184 -5.96 1
SAM33 20.7593 1
SAM70 5.4278 1
SAM332 -17.7571 1
SAM331 -31.1919 1
SAM141 8.4796 1
SAM206 -8.5338 1
SAM140 19.5822 1
SAM169 19.337 1
SAM83 14.9363 1
SAM183 13.825 1
SAM175 6.2799 1
SAM154 6.6066 1
SAM110 9.3569 1
SAM72 14.7792 1
SAM159 -4.1734 1
SAM309 -11.0739 1
SAM225 -11.5985 1
SAM93 9.4355 1
SAM290 -12.7414 1
SAM121 3.9346 1
SAM228 -8.5076 1
SAM307 -8.7782 1
SAM9 55.328 1
SAM286 -5.788 1
SAM112 9.7953 1
SAM192 0.5295 1
SAM259 -7.2703 1
SAM336 -13.6384 1
SAM291 -13.0654 1
SAM128 -10.6555 1
SAM318 -4.3588 1
SAM90 20.7776 1
SAM236 0.5295 1
SAM52 13.2216 1
SAM29 19.648 1
SAM327 -27.0706 1
SAM77 18.7345 1
SAM138 5.2969 1
SAM333 -20.6163 1
SAM299 -14.1536 1
SAM379 -17.9981 1
SAM134 -8.193 1
SAM24 33.1531 1
SAM232 0.1627 1
SAM357 -25.9504 1
SAM38 19.3894 1
SAM92 13.7486 1
SAM113 -3.9236 1
SAM269 -1.0301 1
SAM80 3.4556 1
SAM381 -25.7697 1
SAM373 -28.8343 1
SAM370 -9.2884 1
SAM43 16.8976 1
SAM26 29.1918 1
SAM142 0.1091 1
SAM244 -18.7584 1
SAM283 -15.3967 1
SAM364 -11.0262 1
SAM326 -10.9437 1
SAM255 -18.8998 1
SAM330 -9.5984 1
SAM187 0.8668 1
SAM202 -4.3622 1
SAM288 -17.3493 1
SAM49 9.3556 1
SAM164 0.2151 1
SAM233 -11.5723 1
SAM263 -21.7311 1
SAM57 28.7669 1
SAM104 -7.8789 1
SAM211 2.2845 1
SAM221 -2.6924 1
SAM337 3.8521 1
SAM205 -4.4998 1
SAM240 -17.6329 1
SAM99 6.6589 1
SAM155 -0.885 1
SAM145 4.0657 1
SAM220 -4.3381 1
SAM167 -19.6843 1
SAM40 0.466 1
SAM213 10.1427 1
SAM243 -0.07296 1
SAM254 -15.3705 1
SAM176 23.9472 1
SAM158 0.06608 1
