SAMID HtRa fix
SAM20 0.08463 1
SAM36 0.05466 1
SAM22 0.05578 1
SAM31 0.1688 1
SAM23 0.05655 1
SAM184 -0.07963 1
SAM33 0.03818 1
SAM70 -0.06653 1
SAM332 -0.09635 1
SAM331 -0.2636 1
SAM141 0.06696 1
SAM206 -0.08468 1
SAM140 0.2446 1
SAM169 0.2796 1
SAM83 0.08104 1
SAM183 0.1579 1
SAM175 0.06155 1
SAM154 0.06027 1
SAM110 0.05028 1
SAM72 0.05775 1
SAM159 -0.07156 1
SAM309 -0.00529 1
SAM225 -0.1022 1
SAM93 0.02262 1
SAM290 -0.03841 1
SAM121 -0.00811 1
SAM228 -0.04257 1
SAM307 -0.03423 1
SAM9 0.2438 1
SAM286 0.05301 1
SAM112 0.05376 1
SAM192 0.001121 1
SAM259 0.001482 1
SAM336 -0.04001 1
SAM291 -0.04572 1
SAM128 -0.1657 1
SAM318 0.01433 1
SAM90 0.1743 1
SAM236 0.104 1
SAM52 -0.00147 1
SAM29 0.02139 1
SAM327 -0.2002 1
SAM77 0.1247 1
SAM138 0.03658 1
SAM333 -0.086 1
SAM299 -0.031 1
SAM379 0.01302 1
SAM134 -0.1357 1
SAM24 0.1479 1
SAM232 0.06931 1
SAM357 -0.1301 1
SAM38 0.0364 1
SAM92 0.1045 1
SAM113 -0.1261 1
SAM269 0.055 1
SAM80 -0.02611 1
SAM381 -0.04257 1
SAM373 -0.1337 1
SAM370 0.1209 1
SAM43 0.01998 1
SAM26 0.1055 1
SAM142 -0.03218 1
SAM244 -0.1948 1
SAM283 -0.08931 1
SAM364 0.007129 1
SAM326 0.03566 1
SAM255 -0.1551 1
SAM330 -0.01805 1
SAM187 0.006319 1
SAM202 -0.05016 1
SAM288 -0.1106 1
SAM49 -0.04016 1
SAM164 -0.02324 1
SAM233 -0.1031 1
SAM263 -0.1842 1
SAM57 0.2187 1
SAM104 -0.1794 1
SAM211 0.1119 1
SAM221 0.02098 1
SAM337 0.2091 1
SAM205 -0.02857 1
SAM240 -0.1654 1
SAM99 -0.00747 1
SAM155 -0.04147 1
SAM145 0.008513 1
SAM220 -0.00254 1
SAM167 -0.2101 1
SAM40 -0.1242 1
SAM213 0.2058 1
SAM243 0.09218 1
SAM254 -0.1104 1
SAM176 0.3454 1
SAM158 0.001454 1
SAM369 -0.1611 1
SAM185 -0.09921 1
SAM193 0.08226 1
SAM71 0.06635 1
SAM315 -0.05348 1
SAM292 -0.06523 1
SAM359 0.09007 1
SAM229 -0.07707 1
SAM338 0.05254 1
SAM27 0.1454 1
SAM120 -0.1413 1
SAM316 -0.00671 1
SAM325 0.000983 1
SAM133 0.09791 1
SAM368 -0.1694 1
SAM342 -0.2031 1
SAM275 -0.1564 1
SAM148 0.03069 1
SAM377 -0.3193 1
SAM61 0.1497 1
SAM81 -0.05794 1
SAM295 -0.04601 1
SAM270 -0.05949 1
SAM203 0.02642 1
SAM222 0.04003 1
SAM340 -0.0512 1
SAM294 -0.04421 1
SAM91 0.2322 1
SAM376 0.2893 1
SAM346 -0.2527 1
SAM345 -0.2504 1
SAM119 0.1464 1
SAM378 -0.06089 1
SAM98 -0.129 1
SAM56 0.04567 1
SAM28 0.01455 1
SAM135 -0.02304 1
SAM2 -0.02942 1
SAM238 -0.00168 1
SAM63 0.1842 1
SAM48 -0.0143 1
SAM4 0.2075 1
SAM69 0.2696 1
SAM317 -0.0197 1
SAM347 -0.1955 1
SAM319 0.03734 1
SAM371 0.02703 1
SAM265 0.03393 1
SAM25 0.08247 1
SAM334 -0.1562 1
SAM139 -0.02977 1
SAM45 0.02565 1
SAM62 -0.09147 1
SAM157 -0.1949 1
SAM3 0.2057 1
SAM117 0.1346 1
SAM271 0.01621 1
SAM5 0.2592 1
SAM86 0.0465 1
SAM198 -0.06456 1
