SAMID StalkArea fix
SAM20 0.355903178 1
SAM36 0.541865828 1
SAM22 0.468175845 1
SAM31 0.388595376 1
SAM23 0.722743025 1
SAM184 0.758616086 1
SAM33 0.432335509 1
SAM70 0.542827941 1
SAM332 0.762778696 1
SAM331 0.555355041 1
SAM141 0.529672521 1
SAM206 0.6840818 1
SAM140 0.497785356 1
SAM169 0.613945744 1
SAM83 0.664054147 1
SAM183 0.439194653 1
SAM175 0.639863884 1
SAM154 0.612374948 1
SAM110 0.716754364 1
SAM72 0.727789208 1
SAM159 0.41052762 1
SAM309 1.005486364 1
SAM225 0.533756592 1
SAM93 0.695686058 1
SAM290 0.442833664 1
SAM121 0.502968984 1
SAM307 0.981944054 1
SAM9 0.770632678 1
SAM286 0.612041154 1
SAM112 0.807762376 1
SAM192 0.353311364 1
SAM259 0.506405101 1
SAM336 0.657011744 1
SAM291 0.518951836 1
SAM318 0.472201011 1
SAM90 0.650937998 1
SAM236 0.436995538 1
SAM52 0.795883229 1
SAM29 0.70556244 1
SAM327 0.851293069 1
SAM77 0.954514023 1
SAM138 0.424141188 1
SAM333 1.067591724 1
SAM299 0.678741093 1
SAM379 1.162683806 1
SAM134 0.931580397 1
SAM24 0.653843971 1
SAM357 0.695548614 1
SAM38 1.216895914 1
SAM92 0.991506276 1
SAM113 0.89374384 1
SAM269 0.736605302 1
SAM80 0.60730913 1
SAM381 0.895236097 1
SAM373 0.802539478 1
SAM370 0.803364146 1
SAM43 0.857522399 1
SAM26 0.622899283 1
SAM142 0.631342314 1
SAM244 0.872322105 1
SAM283 1.12274631 1
SAM364 0.696353647 1
SAM326 0.776955133 1
SAM255 0.647423341 1
SAM330 0.31647619 1
SAM187 0.571063005 1
SAM202 0.613022901 1
SAM288 0.678623283 1
SAM49 0.410815599 1
SAM164 0.458338733 1
SAM233 0.714987218 1
SAM263 0.507681373 1
SAM57 0.997318223 1
SAM104 0.818600871 1
SAM211 0.767981959 1
SAM221 0.766254083 1
SAM337 1.004484981 1
SAM205 0.544300562 1
SAM240 0.728594241 1
SAM99 0.748582624 1
SAM155 0.626669195 1
SAM145 0.392829981 1
SAM220 0.400278174 1
SAM167 0.467076288 1
SAM40 0.514317987 1
SAM213 0.924825972 1
SAM243 0.691641258 1
SAM254 0.532225065 1
SAM176 1.203701225 1
SAM158 0.985727055 1
SAM369 0.804856403 1
SAM185 1.222570416 1
SAM193 1.453379301 1
SAM71 0.787813263 1
SAM315 0.451211245 1
SAM292 1.064273416 1
SAM359 0.958552278 1
SAM229 1.014989682 1
SAM338 1.075877674 1
SAM27 0.7890699 1
SAM120 0.966864409 1
SAM316 1.12904913 1
SAM325 0.954396213 1
SAM133 1.108327708 1
SAM368 0.892271218 1
SAM342 0.862262464 1
SAM275 0.92390313 1
SAM148 1.186285021 1
SAM377 0.76778561 1
SAM61 0.619580976 1
SAM81 0.724549441 1
SAM295 0.869965911 1
SAM270 0.591306642 1
SAM203 0.526746913 1
SAM222 1.56074323 1
SAM340 0.692191036 1
SAM294 1.191815533 1
SAM91 1.04141833 1
SAM376 1.029617722 1
SAM346 1.095591168 1
SAM345 0.904268175 1
SAM119 0.861778135 1
SAM378 0.708036444 1
SAM98 0.805700706 1
SAM56 0.346380225 1
SAM28 0.471356708 1
SAM135 0.432420594 1
SAM2 0.454961521 1
SAM238 0.691228924 1
SAM63 0.485101176 1
SAM48 0.559412932 1
SAM4 0.59228839 1
SAM69 0.817913647 1
SAM317 1.218918315 1
SAM347 0.80191116 1
SAM319 0.61598778 1
SAM265 0.772792523 1
SAM25 0.722232516 1
SAM334 0.84677703 1
SAM139 0.455609475 1
SAM45 0.285983106 1
SAM62 0.978409762 1
SAM157 0.98347558 1
SAM3 0.677386281 1
SAM117 0.836861378 1
SAM271 1.135705379 1
SAM5 0.221521552 1
SAM86 0.625471462 1
SAM198 0.459222306 1
SAM251 0.457317716 1
SAM156 0.389596759 1
SAM108 0.524436534 1
SAM349 0.570827385 1
SAM122 0.86829694 1
SAM266 0.843792517 1
SAM218 0.61384757 1
SAM85 0.611137946 1
SAM248 0.665683848 1
SAM21 0.545851724 1
SAM278 0.756534781 1
SAM199 0.653686891 1
SAM96 0.362696872 1
SAM367 0.793939368 1
SAM194 0.623488332 1
SAM161 0.721702372 1
SAM173 0.718115721 1
SAM216 0.717598667 1
SAM257 0.45773005 1
SAM89 0.390814126 1
SAM160 0.564288945 1
SAM50 0.915126305 1
SAM264 0.589009353 1
SAM285 0.530536459 1
SAM343 0.499552502 1
SAM60 0.43200826 1
SAM301 0.468699444 1
SAM8 0.601143754 1
SAM242 0.659989712 1
SAM355 0.797277311 1
SAM181 0.552311623 1
SAM97 0.361675854 1
SAM361 0.695450439 1
SAM123 1.192862731 1
SAM250 1.005800523 1
SAM358 0.837646776 1
SAM172 0.614809682 1
SAM341 1.036725576 1
SAM303 0.710844243 1
SAM224 0.901990521 1
SAM162 0.788284502 1
SAM165 0.563562452 1
SAM195 0.605149285 1
SAM67 0.48959758 1
SAM276 0.833248547 1
SAM282 0.533815497 1
SAM44 0.93452564 1
SAM196 0.549248571 1
SAM170 0.394171703 1
SAM73 0.481625789 1
SAM118 0.523075177 1
SAM219 0.747070733 1
SAM79 0.54100189 1
SAM65 0.457180271 1
SAM253 0.712159785 1
SAM174 0.912141792 1
SAM102 0.598394861 1
SAM153 0.538468981 1
SAM249 0.483942713 1
SAM322 0.988050525 1
SAM78 0.322641566 1
SAM374 0.614161729 1
SAM106 0.499572137 1
SAM88 0.733483345 1
SAM18 0.37184676 1
SAM237 0.512256317 1
SAM268 0.858204573 1
SAM12 0.572810516 1
SAM323 0.395605055 1
SAM258 1.18235803 1
SAM201 1.39847997 1
SAM130 0.32729505 1
SAM189 0.660873285 1
SAM329 0.663268749 1
SAM84 0.331025691 1
SAM95 0.548129378 1
SAM302 0.608526497 1
SAM13 1.175741051 1
SAM109 0.687832077 1
SAM208 0.911493839 1
SAM105 0.710373004 1
SAM227 0.52831771 1
SAM247 0.649897345 1
SAM214 0.555571026 1
SAM296 0.878055512 1
SAM363 0.691896512 1
SAM68 0.497785356 1
SAM372 0.364110589 1
SAM197 0.641022346 1
SAM360 0.620857248 1
SAM136 0.361204615 1
SAM53 0.554942707 1
SAM75 0.637664769 1
SAM210 0.630242756 1
SAM129 0.527512676 1
SAM350 0.827652585 1
SAM107 0.738097559 1
SAM234 1.125868267 1
SAM335 0.604756586 1
SAM239 0.572849785 1
SAM274 0.975621599 1
SAM365 0.806976978 1
SAM152 0.6776219 1
SAM304 0.822410052 1
SAM353 0.736035889 1
SAM280 0.889973929 1
SAM35 0.877760987 1
SAM382 0.428179444 1
SAM366 0.417439124 1
SAM125 0.481213455 1
SAM308 0.571848403 1
SAM256 0.741553311 1
SAM17 0.505069924 1
SAM37 0.671417255 1
SAM380 0.722311056 1
SAM339 0.663386559 1
SAM356 0.802657288 1
SAM7 0.929021308 1
SAM10 0.963605007 1
SAM19 0.501653442 1
SAM150 0.60509038 1
SAM321 0.463031487 1
SAM267 0.597903987 1
SAM171 0.623972661 1
SAM348 0.764447667 1
SAM287 0.745794461 1
SAM375 0.379955996 1
SAM352 0.572535626 1
SAM362 0.626669195 1
SAM284 0.455059696 1
SAM231 0.600868865 1
SAM328 0.639235565 1
SAM246 1.102051068 1
SAM223 0.698592031 1
SAM182 0.409820762 1
SAM311 0.709410891 1
SAM39 0.862210104 1
SAM1 0.459379386 1
SAM209 0.563778437 1
SAM252 0.42776711 1
SAM16 0.478307482 1
SAM297 0.602243312 1
SAM262 0.79542508 1
SAM146 0.475106984 1
SAM47 0.529672521 1
SAM94 0.805268737 1
SAM147 0.516949071 1
SAM126 0.577738889 1
SAM6 0.306894332 1
SAM217 0.617676386 1
SAM230 0.746462049 1
SAM235 0.572378547 1
SAM191 0.734092028 1
SAM15 0.715321012 1
SAM14 0.824825151 1
SAM260 0.665703483 1
SAM115 0.459340116 1
SAM132 0.883808553 1
SAM212 0.464994983 1
SAM163 0.544752166 1
SAM55 0.462913678 1
SAM144 0.495193542 1
SAM59 0.725433014 1
SAM188 0.446263236 1
SAM76 0.386376626 1
SAM215 0.664250497 1
SAM103 0.579074066 1
SAM34 0.762503807 1
SAM58 0.576796411 1
SAM204 0.729988323 1
SAM179 1.019996595 1
SAM64 0.706230029 1
SAM131 0.610666707 1
SAM261 0.921802189 1
SAM116 0.561481147 1
SAM300 0.4276493 1
SAM114 0.445124409 1
SAM101 0.488439118 1
SAM354 0.622938553 1
SAM200 0.807114423 1
SAM30 0.854415027 1
SAM272 0.522891917 1
SAM281 0.264286482 1
SAM11 0.56232545 1
SAM178 1.006703731 1
SAM344 0.66727428 1
SAM289 1.084163625 1
SAM320 0.559812176 1
SAM151 0.581371356 1
SAM51 0.528828218 1
SAM143 0.749152038 1
SAM226 0.58146953 1
SAM100 0.335463191 1
SAM127 0.364601462 1
SAM124 0.713508052 1
SAM312 0.663052764 1
SAM207 0.831402861 1
SAM279 0.541021525 1
SAM293 1.1844197 1
SAM32 1.088444045 1
SAM111 0.54315519 1
SAM306 0.942261812 1
SAM190 1.139907259 1
SAM168 0.607741099 1
SAM42 0.631342314 1
SAM305 1.063389843 1
SAM310 0.412464935 1
SAM324 0.716126045 1
SAM273 0.589519861 1
SAM245 0.587242207 1
SAM149 0.807153693 1
SAM177 0.51331006 1
SAM166 0.723921122 1
SAM180 0.543672244 1
SAM74 0.781903142 1
