SAMID Dim2 fix
SAM20 0.625 1
SAM36 0.76 1
SAM22 0.745 1
SAM31 0.6525 1
SAM23 0.9125 1
SAM184 0.91 1
SAM33 0.7 1
SAM70 0.8025 1
SAM332 0.89 1
SAM331 0.77 1
SAM141 0.796666667 1
SAM206 0.89 1
SAM140 0.7225 1
SAM169 0.8225 1
SAM83 0.85 1
SAM183 0.67 1
SAM175 0.86 1
SAM154 0.835 1
SAM110 0.84 1
SAM72 0.91 1
SAM159 0.665 1
SAM309 1.1 1
SAM225 0.7575 1
SAM93 0.8725 1
SAM290 0.696666667 1
SAM121 0.7225 1
SAM307 1.06 1
SAM9 0.9375 1
SAM286 0.7975 1
SAM112 0.945 1
SAM192 0.605 1
SAM259 0.735 1
SAM336 0.866666667 1
SAM291 0.7725 1
SAM318 0.7275 1
SAM90 0.8625 1
SAM236 0.71 1
SAM52 0.9625 1
SAM29 0.845 1
SAM327 0.9775 1
SAM77 1.0675 1
SAM138 0.696666667 1
SAM333 1.0975 1
SAM299 0.8275 1
SAM379 1.14 1
SAM134 1.01 1
SAM24 0.855 1
SAM357 0.87 1
SAM38 1.15 1
SAM92 1.04 1
SAM113 1.0125 1
SAM269 0.9125 1
SAM80 0.8325 1
SAM381 1.0325 1
SAM373 0.975 1
SAM370 0.9425 1
SAM43 0.978571429 1
SAM26 0.8225 1
SAM142 0.855 1
SAM244 1.02 1
SAM283 1.1525 1
SAM364 0.925 1
SAM326 0.8975 1
SAM255 0.8225 1
SAM330 0.565 1
SAM187 0.81 1
SAM202 0.8525 1
SAM288 0.8475 1
SAM49 0.666666667 1
SAM164 0.72 1
SAM233 0.86 1
SAM263 0.7875 1
SAM57 1.055 1
SAM104 0.98 1
SAM211 0.95 1
SAM221 0.9225 1
SAM337 1.05 1
SAM205 0.7525 1
SAM240 0.9425 1
SAM99 0.89 1
SAM155 0.813333333 1
SAM145 0.66 1
SAM220 0.6475 1
SAM167 0.74 1
SAM40 0.765 1
SAM213 1.045 1
SAM243 0.865 1
SAM254 0.815 1
SAM176 1.183333333 1
SAM158 1.04 1
SAM369 0.96 1
SAM185 1.1575 1
SAM193 1.345 1
SAM71 0.9475 1
SAM315 0.705 1
SAM292 1.13 1
SAM359 1.053333333 1
SAM229 1.085 1
SAM338 1.09 1
SAM27 0.9325 1
SAM120 1.065 1
SAM316 1.18 1
SAM325 1.0175 1
SAM133 1.136666667 1
SAM368 1.0175 1
SAM342 0.98 1
SAM275 1.0075 1
SAM148 1.155 1
SAM377 0.905 1
SAM61 0.8275 1
SAM81 0.9125 1
SAM295 1.03 1
SAM270 0.8025 1
SAM203 0.765 1
SAM222 1.38 1
SAM340 0.8625 1
SAM294 1.146666667 1
SAM91 1.0875 1
SAM376 1.0625 1
SAM346 1.1025 1
SAM345 1.025 1
SAM119 0.935 1
SAM378 0.905 1
SAM98 0.9 1
SAM56 0.625 1
SAM28 0.725 1
SAM135 0.6975 1
SAM2 0.7 1
SAM238 0.836666667 1
SAM63 0.7375 1
SAM48 0.696666667 1
SAM4 0.7975 1
SAM69 0.93 1
SAM317 1.13 1
SAM347 0.96 1
SAM319 0.8575 1
SAM265 0.9375 1
SAM25 0.89 1
SAM334 0.9725 1
SAM139 0.6825 1
SAM45 0.5875 1
SAM62 1.0275 1
SAM157 1.045 1
SAM3 0.855 1
SAM117 1 1
SAM271 1.1825 1
SAM5 0.495 1
SAM86 0.825 1
SAM198 0.6875 1
SAM251 0.6875 1
SAM156 0.6225 1
SAM108 0.753333333 1
SAM349 0.8 1
SAM122 1.025 1
SAM266 0.9875 1
SAM218 0.8525 1
SAM85 0.82 1
SAM248 0.86 1
SAM21 0.7775 1
SAM278 0.88 1
