SAMID surface_area fix
SAM20 18090 1
SAM36 13286 1
SAM22 18129 1
SAM31 15584 1
SAM23 13619 1
SAM184 444.16 1
SAM33 13665 1
SAM70 7078.89 1
SAM332 -7353.81 1
SAM331 -11312 1
SAM141 1800.88 1
SAM206 -2885.51 1
SAM140 2749.57 1
SAM169 1709.8 1
SAM83 6250.89 1
SAM183 360.33 1
SAM175 1489.1 1
SAM154 1479.87 1
SAM110 3906.72 1
SAM72 7714.43 1
SAM159 -242.02 1
SAM309 -8952.91 1
SAM225 -4673.15 1
SAM93 5128.32 1
SAM290 -8108.11 1
SAM121 2776.11 1
SAM228 -4819.51 1
SAM307 -4949.31 1
SAM9 29891 1
SAM286 -7363.75 1
SAM112 3398.62 1
SAM192 -792.23 1
SAM259 -6393.38 1
SAM336 -8412.08 1
SAM291 -8285.71 1
SAM128 751.09 1
SAM318 -4969.56 1
SAM90 6698.47 1
SAM236 -4132.35 1
SAM52 9728.47 1
SAM29 14395 1
SAM327 -10528 1
SAM77 7296.99 1
SAM138 2468.43 1
SAM333 -11208 1
SAM299 -8514.75 1
SAM379 -14031 1
SAM134 1389.41 1
SAM24 17251 1
SAM232 -3647.62 1
SAM357 -13341 1
SAM38 13635 1
SAM92 5092.16 1
SAM113 2968.56 1
SAM269 -4660.74 1
SAM80 4655.37 1
SAM381 -16207 1
SAM373 -15311 1
SAM370 -11790 1
SAM43 12148 1
SAM26 16264 1
SAM142 1274.54 1
SAM244 -4401.83 1
SAM283 -8089.25 1
SAM364 -9253.49 1
SAM326 -9919.67 1
SAM255 -6472.07 1
SAM330 -6828.71 1
SAM187 -579.83 1
SAM202 -1001.71 1
SAM288 -8047.12 1
SAM49 10107 1
SAM164 262.87 1
SAM233 -4628.37 1
SAM263 -7027.23 1
SAM57 11118 1
SAM104 3695.53 1
SAM211 -2574.34 1
SAM221 -3779.71 1
SAM337 -7348.88 1
SAM205 -2597.27 1
SAM240 -3523.64 1
SAM99 4649.07 1
SAM155 500.74 1
SAM145 1553.82 1
SAM220 -4034.77 1
SAM167 -1759.51 1
SAM40 9432.14 1
SAM213 -2066.3 1
SAM243 -4597.45 1
SAM254 -6445.2 1
SAM176 1917.27 1
SAM158 -454.13 1
SAM369 -15079 1
SAM185 -441.46 1
SAM193 -715.85 1
SAM71 7696.68 1
SAM315 -9095.86 1
SAM292 -8143.06 1
SAM359 -12624 1
SAM229 -3387.69 1
SAM338 -10362 1
SAM27 16775 1
SAM120 2318.68 1
SAM316 -9114.78 1
SAM325 -9985.55 1
SAM133 2738.13 1
SAM368 -11748 1
SAM342 -9299.35 1
SAM275 -8018.88 1
SAM148 1767.41 1
SAM377 -15736 1
SAM61 10609 1
SAM81 4966.82 1
SAM295 -8509.65 1
SAM270 -7474.85 1
SAM203 -1985.54 1
SAM222 -3506.26 1
SAM340 -11228 1
SAM294 -8519.47 1
SAM91 6279.79 1
SAM376 -8268.14 1
SAM346 -12142 1
SAM345 -11773 1
SAM119 3728.95 1
SAM378 -14792 1
SAM98 3003.62 1
SAM56 8888.62 1
SAM28 14491 1
SAM135 2658.45 1
SAM2 43787 1
SAM238 -4525.42 1
SAM63 11526 1
SAM48 10677 1
SAM4 34261 1
SAM69 9374.18 1
SAM317 -5165.37 1
SAM347 -13980 1
SAM319 -9748.61 1
SAM371 -11565 1
SAM265 -6226.33 1
SAM25 17198 1
SAM334 -11192 1
SAM139 1933.65 1
SAM45 11765 1
SAM62 8447 1
SAM157 -695.85 1
SAM3 39161 1
SAM117 3514.08 1
SAM271 -7231.49 1
SAM5 37156 1
SAM86 3907.6 1
SAM198 -2071.33 1
SAM251 -5524.76 1
SAM156 946.48 1
SAM108 5168.46 1
SAM349 -11631 1
SAM122 3085.61 1
SAM266 -7737.85 1
SAM218 -1618.8 1
SAM85 5425.77 1
SAM248 -4152.41 1
SAM21 15942 1
