SAMID volume fix
SAM20 718318 1
SAM36 498820 1
SAM22 707085 1
SAM31 546424 1
SAM23 494337 1
SAM184 18399 1
SAM33 508160 1
SAM70 273222 1
SAM332 -242678 1
SAM331 -384743 1
SAM141 33429 1
SAM206 -112464 1
SAM140 33721 1
SAM169 -14667 1
SAM83 211577 1
SAM183 -49216 1
SAM175 23637 1
SAM154 14757 1
SAM110 127038 1
SAM72 254804 1
SAM159 -19996 1
SAM309 -333831 1
SAM225 -162679 1
SAM93 176818 1
SAM290 -293186 1
SAM121 88352 1
SAM228 -165133 1
SAM307 -171503 1
SAM9 1164078 1
SAM286 -291026 1
SAM112 91220 1
SAM192 -55542 1
SAM259 -254818 1
SAM336 -299470 1
SAM291 -307612 1
SAM128 76153 1
SAM318 -181336 1
SAM90 194637 1
SAM236 -176327 1
SAM52 362907 1
SAM29 574515 1
SAM327 -361004 1
SAM77 241198 1
SAM138 56352 1
SAM333 -384517 1
SAM299 -312407 1
SAM379 -485745 1
SAM134 52242 1
SAM24 625372 1
SAM232 -172808 1
SAM357 -455311 1
SAM38 515836 1
SAM92 152766 1
SAM113 116986 1
SAM269 -190952 1
SAM80 168737 1
SAM381 -551931 1
SAM373 -518972 1
SAM370 -420233 1
SAM43 451169 1
SAM26 601562 1
SAM142 34509 1
SAM244 -148629 1
SAM283 -296012 1
SAM364 -311972 1
SAM326 -371794 1
SAM255 -244074 1
SAM330 -236191 1
SAM187 -41875 1
SAM202 -44122 1
SAM288 -295367 1
SAM49 410598 1
SAM164 -3045.02 1
SAM233 -174895 1
SAM263 -257790 1
SAM57 370360 1
SAM104 147466 1
SAM211 -124579 1
SAM221 -153714 1
SAM337 -303494 1
SAM205 -111300 1
SAM240 -120922 1
SAM99 154257 1
SAM155 9895.07 1
SAM145 37131 1
SAM220 -168714 1
SAM167 -55656 1
SAM40 389184 1
SAM213 -132231 1
SAM243 -196862 1
SAM254 -230877 1
SAM176 -21124 1
SAM158 -17187 1
SAM369 -503037 1
SAM185 10227 1
SAM193 -56300 1
SAM71 270752 1
SAM315 -336155 1
SAM292 -301665 1
SAM359 -459107 1
SAM229 -122969 1
SAM338 -388796 1
